School Year,AR,CA,CO,CT,DC,DE,FL,GA,HI,KS,KY,LA,MA,MD,ME,MI,MN,MS,MT,NC,ND,NE,NH,NM,NY,OH,OR,PA,RI,SC,SD,TN,UT,VA,VT,WA,WI,WV,WY
1999-2000,"11,038",,"9,719",,,"1,912","37,196",,,,,,,,,,"14,906",,"3,447","27,978",,"4,706","6,168",,,,,,,,"2,236",,,,,,"19,837",,
2000-2001,"11,871",,"9,380","2,193",,"2,174","41,128","28,898",,,,,,"17,383","4,375","1,914","15,249",,"3,627","33,860",,"4,659","6,949",,,,"14,509",,,,"2,481",,,"14,323",,"20,433","20,382",,"2,000"
2001-2002,"12,474",,"9,680","2,266",,"2,288","44,460","32,309",,,,,,"19,423","4,595","1,817","15,610",,"3,571","46,909",,"5,000","3,968",,,,,,,,"2,411",,,"16,268",,"19,481","21,013",,"2,101"
2002-2003,"12,497",,"8,910","2,418",,"2,290","45,333","31,831",,,,"5,865",,"20,676","3,483","1,738","16,519",,"3,788","51,571",,"5,086","4,149",,,,"20,464",,,,"2,384",,"7,037","16,542","2,064","19,554","21,288","5,002","2,216"
2003-2004,"13,163",,"8,591","2,269",,"2,287","47,151","34,363",,,,"6,392",,"21,205","4,718","1,659","17,533",,"3,917","54,501",,"4,929","4,142",,,,"20,401",,,,"2,413",,"7,037","18,102","2,023","19,337","21,034","5,091","2,093"
2004-2005,"13,973","17,505","6,641","2,166",,"2,418","51,110","36,413",,,,"6,252",,"23,746","4,094","1,566","17,135",,"3,971","58,780",,"4,976","4,297",,,,"21,192",,901,,"2,175",,"6,950","17,448","2,094","16,468","20,743","5,501","2,287"
2005-2006,"13,814","18,651","6,517","2,070",,"2,563","52,613","36,624",,,,"7,874",,"24,329","4,721","1,426","17,484",,"3,987","64,387",,"5,616","4,334",,,"25,937","18,860",,852,,"2,058",,"7,573","18,693","2,063","15,819","20,323","5,836","2,322"
2006-2007,"15,012","18,892","5,847","2,099",,"2,484","55,822","39,477",,,,"7,829",,"24,277","4,571","1,328","17,631",,"4,093","68,707",,"5,956","4,568",,,"23,020","15,220",,811,,"2,311",,"8,540","20,240","2,190","17,577","20,157","6,342","2,381"
2007-2008,"15,660","20,065","7,104","2,046",,"2,538","56,650","42,843",,,,"7,856",,"24,074","4,897","1,320","15,256",,"4,106","71,566",694,"6,062","4,636",,,"24,000","17,915",,981,,"2,486",,"8,808","20,694","2,092","19,541","19,725","6,358","2,443"
2008-2009,"16,061","21,233","7,023","1,886",,"2,558","60,913","39,233",,,,"8,120",,"24,634","4,998","1,266","15,653",,"4,028","77,065",914,"6,134","4,799",,,"23,728","20,846",,983,,"2,805",,"8,895","22,621","2,098","16,577","19,358","6,532","2,548"
